Protein IDs	173.1	173.2	173.3	173.4	173L.1	173L.2	173S.1	173S.2	173S.3	173S.4	178.1	178.2	178.3	178.4	178L.1	178L.2	178S.1	178S.2	178S.3	178S.4	275.1	275.2	275.3	275.4	275L.1	275L.2	275S.1	275S.2	275S.3	275S.4	282.1	282.2	282.3	282.4	288.1	288.2	288.3	288.4	575.1	575.2	575.3	575.4
LdBPK_010005000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6029400	0	0	0	0	0	0	0	0	0
LdBPK_010005400	0	0	0	0	11143000	0	0	0	11799000	13594000	0	0	0	0	0	0	0	15127000	0	0	0	0	12365000	0	0	0	0	0	13179000	0	0	0	15634000	0	11686000	0	0	0	12325000	0	0	0
LdBPK_010005500	19053000	34945000	0	19082000	19902000	29266000	17875000	21935000	0	16923000	18977000	19962000	33224000	0	16107000	21578000	15997000	20141000	26942000	0	0	17225000	0	22115000	0	15062000	0	0	0	19380000	22066000	11813000	17688000	20017000	0	23067000	0	19398000	0	0	18899000	0
LdBPK_010006000	0	24720000	18577000	0	30192000	0	0	18271000	20034000	0	22311000	24449000	26140000	24431000	0	26638000	0	0	0	24748000	21027000	19423000	25722000	0	12223000	21258000	0	0	0	0	19453000	0	0	0	18115000	25188000	19190000	14249000	19119000	18767000	0	23171000
LdBPK_010006300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_010006500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6776200	0
LdBPK_010007600	19022000	0	0	22135000	17921000	0	0	0	27994000	0	0	0	0	0	13862000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_010008000	28955000	0	0	0	30812000	22801000	0	0	29172000	23887000	0	19815000	49125000	53702000	23301000	39760000	30812000	0	0	38519000	28265000	26468000	42423000	31807000	71230000	0	31060000	0	0	25344000	44142000	36049000	37425000	46364000	0	27416000	33752000	26848000	0	31615000	20470000	18629000
LdBPK_010008200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10160000
LdBPK_010008300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5340200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_010008400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6254300	0	0	0	0	0
LdBPK_010008600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198040000	0	0	0
LdBPK_010009600	0	0	12968000	0	0	0	0	0	7129100	0	0	0	12813000	10302000	8687400	0	0	0	0	0	0	0	0	10140000	0	0	0	0	0	0	12779000	13375000	15350000	0	0	0	0	0	11728000	0	14127000	0
LdBPK_010009700	186820000	180740000	225350000	210210000	158440000	238000000	113800000	179600000	165580000	164200000	167120000	192470000	162920000	197200000	162970000	199240000	166200000	171000000	87997000	216010000	169960000	170400000	187760000	186510000	152860000	197930000	140760000	100470000	140580000	132790000	125080000	119780000	134430000	112010000	176170000	159700000	152820000	195280000	178440000	184260000	195620000	199910000
LdBPK_010009800	188400000	112730000	182880000	216210000	167600000	150300000	179190000	221280000	212660000	158840000	221140000	152640000	209240000	228400000	200330000	215250000	202240000	94537000	73752000	154880000	163910000	160500000	139730000	161320000	164940000	169230000	117800000	111720000	156600000	163500000	247240000	188910000	165700000	240840000	208280000	204060000	206410000	189880000	189860000	200390000	182650000	164340000
LdBPK_010009900	56177000	43986000	71165000	98690000	41442000	112910000	28621000	41606000	38146000	37824000	68977000	30591000	111670000	77258000	85746000	54160000	43446000	0	0	81730000	61370000	54190000	70529000	93234000	56599000	41712000	49380000	0	74232000	37332000	101210000	46983000	70849000	76648000	30948000	47581000	39732000	71017000	72805000	52436000	91763000	65374000
LdBPK_010010000	55397000	71118000	75743000	52473000	48367000	68937000	96350000	91580000	86985000	68760000	111980000	66822000	107730000	75640000	64875000	68533000	105850000	67784000	79466000	108880000	56005000	51312000	59272000	51646000	50313000	53020000	55004000	0	109940000	102600000	68677000	55289000	92614000	82617000	98473000	86184000	97282000	78145000	81399000	85524000	66112000	75789000
LdBPK_010010100	0	0	0	0	0	0	9896300	0	12604000	0	0	0	0	0	0	0	0	0	0	0	12611000	0	0	0	10264000	0	21480000	0	0	21451000	0	12971000	14166000	11617000	0	0	0	0	0	0	0	0
LdBPK_010010300	29336000	60572000	32419000	25941000	36599000	0	15386000	0	0	0	26985000	51868000	52778000	47793000	68974000	45293000	0	0	0	63833000	110480000	116790000	120680000	109150000	104400000	108240000	56492000	0	23146000	37699000	199700000	262230000	136380000	282880000	78953000	96098000	55011000	80283000	35553000	60894000	52250000	55967000
LdBPK_010010600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4951700	0	0
LdBPK_010010800	44531000	59787000	38857000	29470000	45430000	42702000	36695000	47122000	40759000	47425000	50269000	56402000	36670000	36243000	39511000	58578000	54797000	48512000	52963000	69925000	34439000	40111000	26011000	32605000	25538000	47545000	43500000	45240000	19319000	42562000	37974000	41629000	36127000	34291000	43783000	36403000	46509000	30451000	39216000	44229000	59123000	40382000
LdBPK_010011000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6131900	0
LdBPK_010011300	46338000	0	44985000	34051000	49615000	73695000	72916000	80187000	79699000	68619000	56126000	81895000	94198000	53989000	54182000	57751000	127700000	137500000	150890000	128370000	64430000	48504000	53522000	77124000	49985000	41860000	101630000	264980000	159870000	95757000	73860000	75796000	106230000	60378000	38270000	40227000	53500000	52094000	48784000	37090000	58970000	55553000
LdBPK_010011500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7741900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7406300	0	0	0	0	0	0	0	0	0	0
LdBPK_010011600	68321000	0	38550000	66558000	55984000	64451000	38508000	0	28014000	56566000	53389000	46911000	0	71810000	77282000	68695000	40470000	0	0	38622000	31748000	46127000	57526000	38777000	64661000	80095000	0	0	0	44071000	37847000	80071000	29945000	40809000	35948000	45580000	50246000	26053000	34637000	61651000	46712000	56229000
LdBPK_010011800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1471200
LdBPK_020005400	34234000	0	35547000	33873000	0	0	25760000	0	27312000	32022000	0	0	0	0	39789000	32269000	0	0	0	0	71149000	0	40629000	0	40986000	0	0	0	0	0	35028000	0	0	0	0	25857000	33065000	0	32072000	32467000	29135000	0
LdBPK_020005900	33996000	33649000	33224000	24461000	32219000	27098000	0	0	24328000	0	27645000	27618000	43238000	25489000	25474000	26356000	0	0	0	0	30224000	40372000	24662000	27342000	32888000	40452000	0	0	20381000	21576000	0	18241000	0	16248000	23997000	28736000	24578000	23578000	20163000	33268000	21322000	29294000
LdBPK_020006500	0	0	0	0	0	0	6857700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020007700	0	0	0	0	0	0	0	0	0	122410000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020007900	0	13761000	11236000	15841000	14510000	0	0	0	12159000	17682000	0	15823000	12302000	0	0	0	13088000	0	0	0	0	14432000	18221000	20890000	10587000	13520000	8054900	0	0	0	10298000	4421400	0	0	13878000	0	0	0	7264500	0	0	0
LdBPK_020008100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31852000	8731900	9826200	0	10283000	13297000	0	0	0	0	0	0	0	0	8549800	0	0	0	0	0	0	0
LdBPK_020008200	0	0	0	0	20382000	10741000	0	0	0	14851000	0	21274000	0	0	0	0	0	0	0	0	25636000	13545000	21038000	17648000	11142000	36868000	15531000	0	0	14515000	0	23355000	0	0	0	0	0	0	0	0	0	14954000
LdBPK_020008400	74790000	64978000	132500000	59850000	172060000	98459000	166550000	166310000	122430000	131340000	97400000	151340000	86950000	83043000	97229000	100150000	149290000	113740000	84045000	175600000	173600000	170810000	177180000	161480000	211930000	214390000	187160000	472790000	210200000	227730000	49487000	61886000	111710000	92427000	104730000	149560000	82418000	85231000	69914000	63568000	100880000	92324000
LdBPK_020008500	0	0	8528400	0	13748000	6523500	0	10166000	8923900	10301000	11284000	11088000	0	0	0	6151500	0	0	0	9094600	6520900	10687000	0	11918000	22857000	7919200	11168000	0	0	0	8452300	8969700	0	9292800	0	0	10442000	14383000	0	0	0	0
